0 1
0 10
1 0
1 11
1 2
2 1
2 12
2 3
3 2
3 13
3 4
4 3
4 14
4 5
5 4
5 15
5 6
6 5
6 16
6 7
7 6
7 17
7 8
8 7
8 18
8 9
9 8
9 19
10 11
10 0
10 20
11 10
11 21
11 12
11 1
12 11
12 22
12 13
12 2
13 12
13 23
13 14
13 3
14 13
14 24
14 15
14 4
15 14
15 25
15 16
15 5
16 15
16 26
16 17
16 6
17 16
17 27
17 18
17 7
18 17
18 28
18 19
18 8
19 18
19 9
19 29
20 21
20 10
20 30
21 20
21 31
21 22
21 11
22 21
22 32
22 23
22 12
23 22
23 33
23 24
23 13
24 23
24 34
24 25
24 14
25 24
25 35
25 26
25 15
26 25
26 36
26 27
26 16
27 26
27 37
27 28
27 17
28 27
28 38
28 29
28 18
29 28
29 19
29 39
30 31
30 20
30 40
31 30
31 41
31 32
31 21
32 31
32 42
32 33
32 22
33 32
33 43
33 34
33 23
34 33
34 44
34 35
34 24
35 34
35 45
35 36
35 25
36 35
36 46
36 37
36 26
37 36
37 47
37 38
37 27
38 37
38 48
38 39
38 28
39 38
39 29
39 49
40 41
40 30
40 50
41 40
41 51
41 42
41 31
42 41
42 52
42 43
42 32
43 42
43 53
43 44
43 33
44 43
44 54
44 45
44 34
45 44
45 55
45 46
45 35
46 45
46 56
46 47
46 36
47 46
47 57
47 48
47 37
48 47
48 58
48 49
48 38
49 48
49 39
49 59
50 51
50 40
50 60
51 50
51 61
51 52
51 41
52 51
52 62
52 53
52 42
53 52
53 63
53 54
53 43
54 53
54 64
54 55
54 44
55 54
55 65
55 56
55 45
56 55
56 66
56 57
56 46
57 56
57 67
57 58
57 47
58 57
58 68
58 59
58 48
59 58
59 49
59 69
60 61
60 50
60 70
61 60
61 71
61 62
61 51
62 61
62 72
62 63
62 52
63 62
63 73
63 64
63 53
64 63
64 74
64 65
64 54
65 64
65 75
65 66
65 55
66 65
66 76
66 67
66 56
67 66
67 77
67 68
67 57
68 67
68 78
68 69
68 58
69 68
69 59
69 79
70 71
70 60
70 80
71 70
71 81
71 72
71 61
72 71
72 82
72 73
72 62
73 72
73 83
73 74
73 63
74 73
74 84
74 75
74 64
75 74
75 85
75 76
75 65
76 75
76 86
76 77
76 66
77 76
77 87
77 78
77 67
78 77
78 88
78 79
78 68
79 78
79 69
79 89
80 81
80 70
80 90
81 80
81 91
81 82
81 71
82 81
82 92
82 83
82 72
83 82
83 93
83 84
83 73
84 83
84 94
84 85
84 74
85 84
85 95
85 86
85 75
86 85
86 96
86 87
86 76
87 86
87 97
87 88
87 77
88 87
88 98
88 89
88 78
89 88
89 79
89 99
90 91
90 80
91 90
91 81
91 92
92 91
92 82
92 93
93 92
93 83
93 94
94 93
94 84
94 95
95 94
95 85
95 96
96 95
96 86
96 97
97 96
97 87
97 98
98 97
98 88
98 99
99 98
99 89
